"ASV_ID" "P29892_1035_S35" "P29892_1037_S37" "P29892_1039_S39" "P29892_1041_S41" "P29892_1043_S43" "P29892_1071_S71" "P29892_1073_S73" "P29892_1075_S75" "P29892_1077_S77" "P29892_1079_S79"
"1" "00066e4fe6737dabda0c90599861e738" 0 0 0 0 9 17 19 37 51 48
"2" "000b1934cd29bb7e68cf0448206efcd5" 0 0 0 0 0 0 0 0 0 38
"3" "0010b997cdb6c910379c4d1a77623547" 47 51 69 78 73 17 0 66 86 69
"4" "001573717b4857774253643c58ff6da3" 0 0 0 0 0 4 2 0 0 0
"5" "00273d0a9d2e7b5b75e2b6c1ee93a931" 0 0 0 0 0 0 0 0 5 0
"6" "003482e33f692720683f8059831ec56e" 0 0 0 0 30 0 0 0 0 20
"7" "0039ad650cd8597a403a99438b51389f" 0 0 0 0 0 9 15 0 9 0
"8" "003aa43ab60ee99beedefec053c7b24f" 0 0 0 0 0 16 0 0 0 0
"9" "004103c21fa2016f1f72dc959390333d" 0 0 0 0 0 0 0 0 0 8
"10" "005b23399e586b353ff1c595916dc181" 48 56 31 65 55 104 89 103 161 127
"11" "006d23ddef9f44ba32be864a6ba471d9" 13 9 15 10 9 19 0 0 0 7
"12" "00729bcb65fa393e40811189bba1bfde" 19 0 25 14 0 0 0 0 0 0
"13" "00793ef7b9bba8249ddad6178ea2a8b6" 0 0 0 0 0 5 0 0 0 0
"14" "008887f1a293f6b2fec3868e888ab975" 0 0 0 0 0 7 0 0 0 15
"15" "009494f5d1225e00124c18770d31b57e" 0 0 0 0 0 0 0 0 6 0
"16" "009e4cabc27cf700a7e51d71142bc02a" 0 0 0 0 0 0 0 0 0 9
"17" "009f67d17b08aa8c78cc03aafc679c59" 0 0 0 0 0 7 0 0 0 0
"18" "00b04a4d3fb4b57f54b195d667e544ed" 0 0 0 0 0 2 0 0 0 0
"19" "00c28036316487a0936b7e3655c80757" 0 0 0 0 0 0 0 0 12 0
"20" "00df5fc74a598e3b9098c93c66376b19" 0 0 13 0 0 0 0 18 12 0
"21" "00e8e28a2f640f24ca7754c08bb8f29f" 0 0 0 0 4 0 0 0 0 0
"22" "00ea1cad2355ad44f1d68b9effe3cc0e" 0 0 0 5 0 0 0 0 0 0
"23" "00ee2629162d81b82d11a53dec909cdf" 0 0 0 0 0 33 0 0 0 0
"24" "00ef6b87c0a021f13257884f4820b819" 0 0 0 0 0 6 0 0 0 0
"25" "00f03a0cbd4a07ce83ef1af20e83e940" 0 0 0 0 0 6 0 0 0 0
"26" "00f92c97d2ca2830660db3525bc4e8cf" 0 0 0 0 11 0 0 0 0 0
"27" "00fb3f50e38cbd7cefa3cf3c6788abaf" 13 22 24 25 70 0 0 20 29 66
"28" "00fd4e96c48ddbc04c5f40d1ce369382" 14 0 0 0 0 0 0 0 0 0
"29" "0102a3fd6802cde6d6e490cd10bfa5bc" 0 0 0 0 0 0 0 0 16 9
"30" "01183ff5e59fac8d66c7fbc48de7a1ae" 0 0 0 0 0 6 0 0 0 0
"31" "01292ea963485606348bfd2819819da9" 940 1323 1301 1455 932 500 420 507 834 688
